Marka,Dzinējs,Gads,Nobraukums (km),Cena (EUR),Saite,Statuss
Jaguar,Xf,2008,None km,None EUR,https://www.ss.com/msg/lv/transport/other/transport-with-defects-or-after-crash/bjkpnd.html,Sists
"Ekskluzīvs Jaguar XF 2.2d (2012. g. decembris) – elegance, jauda un komforts vie",2.2D,2012,155 km,8500 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/cgxhlo.html,Nesists
"2.2 D, 200 ZS, Black Pack, jauna TA, oriģināls nobraukums Tiek pārdots kopts",2.2D,2013,182 tūkst. km,9500 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/bnxcpb.html,Nesists
"Pārdodu auto labā tehniskā stāvoklī, pirkts jauns Latvijā. Vasaras/ziemas riepu",2.2D,2013,132 tūkst. km,12000 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/cgxidx.html,Nesists
"Jaguar XF 3.0. dīzelis ar automātisko ātrumkārbu, skaista balta krāsa. ТA bez",3.0D,2011,249 tūkst. km,6200 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/cfhkhi.html,Nesists
"199t. km, dīzelis, keyless, atpakaļskata kamera, el. regulējami sēdekļi ar apsil",2.7D,2008,200 tūkst. km,5495 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/bnckfb.html,Nesists
"Jaguar XF 3.0d Auto ļoti labā kārtībā, 142tkm orģināls odometrs. Līzings",3.0D,2010,- km,6700 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/cdffdk.html,Nesists
Pārdodu Jaguar XF 3.0 D. Auto salons ar gaišu un mīkstu ādas apdari. Aprīkots ar,3.0D,2010,250 tūkst. km,6900 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/cejgnj.html,Nesists
"Jaguar XF 3, 0 177 KW в отличном состояние, авто с Италии 4 года в Латвии. 2 клю",3.0D,2011,191 tūkst. km,7800 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/bmmmpn.html,Nesists
"Labā kārtībā, dzinējs un kārba darbojas nevainojami. tehniskā līdz 12.12.2025 L",2.7D,2008,260 tūkst. km,3600 EUR,https://www.ss.com/msg/lv/transport/cars/jaguar/xf/bmkoje.html,Nesists
